建置單位,縣市,行政區,站名,物理UUID,物理量,單位,經度,緯度,監測站代號,
桃園市政府水務局,桃園市,八德區,藝墅天地站,91704867-e796-49f2-a2ff-9440156e68ff,水位,m,121.28601,24.94771,3802500RV20,
桃園市政府水務局,桃園市,桃園區,興邦路31巷,e3a17caa-9e0a-48cc-9034-67f21e0e00c5,水位,m,121.32326,24.98412,3802500RV21,
桃園市政府水務局,桃園市,中壢區,洽溪六號橋站,3bf1783f-3fe6-49e1-91ff-079af9551baf,水位,m,121.20013,25.01807,3802500RV49,
桃園市政府水務局,桃園市,桃園區,星見橋站,a567a4a9-56a8-4e48-99e8-d745c5e4a085,水位,m,121.28258,25.00995,3802500RV33,
桃園市政府水務局,桃園市,大園區,心園橋,5c799d97-a8cd-473d-a368-5a51778cbfd9,水位,m,121.19875,25.05919,3802500RV8,
桃園市政府水務局,桃園市,中壢區,埔頂橋,a3ff4474-8218-4a06-b1ce-73401b093ec0,水位,m,121.22874,24.95553,3802500RV10,
桃園市政府水務局,桃園市,觀音區,三合橋,132c84a4-34ce-47e8-a788-4a11a896b1c8,水位,m,121.08823,25.02599,3802500RV13,
桃園市政府水務局,桃園市,桃園區,大興橋,d90821b3-c227-4b37-a206-f93b72e9fe60,水位,m,121.30789,25.01519,3802500RV1,
桃園市政府水務局,桃園市,觀音區,富林橋,6241410d-d44d-43ba-a588-9bb47394b202,水位,m,121.1151,25.03585,3802500RV12,
桃園市政府水務局,桃園市,新屋區,笨仔港橋,cb6ad226-6691-4bd9-bdd5-aa61924c2af2,水位,m,121.02695,24.98295,3802500RV18,
桃園市政府水務局,桃園市,大園區,許厝港一號橋,be713f42-dd40-43bc-81fe-a3f1b47bd6f7,水位,m,121.17741,25.07751,3802500RV9,
桃園市政府水務局,桃園市,平鎮區,新富橋,1988d784-6adf-4623-b570-2101f04ade7b,水位,m,121.20771,24.93213,3802500RV5,
桃園市政府水務局,桃園市,大園區,大埔橋站,6bd5e8c9-cdca-4b04-bc68-5c0270dd5a68,水位,m,121.21012,25.07485,3802500RV46,
桃園市政府水務局,桃園市,中壢區,領航南橋,571fd268-a102-449f-94c9-5deaf5d70ea7,水位,m,121.21088,25.00104,3802500RV7,
桃園市政府水務局,桃園市,八德區,西坡渠站,74b7f38a-c8e4-4bd6-9d5a-76ff07cc4a23,水位,m,121.31867,24.96878,3802500RV44,
桃園市政府水務局,桃園市,觀音區,大堀二號橋,4756c702-8411-4ef9-9a5a-a59783fade12,水位,m,121.12545,25.00229,3802500RV11,
桃園市政府水務局,桃園市,八德區,連城橋,83624c14-12bc-435a-8918-89c4e6304088,水位,m,121.27536,24.93204,3802500RV43,
桃園市政府水務局,桃園市,觀音區,富霖橋站,236d7d84-071e-4b5b-9008-4778f1db048b,水位,m,121.12588,25.05262,3802500RV28,
桃園市政府水務局,桃園市,八德區,永安橋,36d2ebf0-3b8e-498a-ae21-4105823eb5b9,水位,m,121.28255,24.98684,3802500RV4,
桃園市政府水務局,桃園市,桃園區,中路滯洪池,828a6459-bba9-403b-81ab-1c8a15ce70c2,水位,m,121.28538,25.00766,3802500RV69,
桃園市政府水務局,桃園市,中壢區,老街溪橋,b2c0cce5-3f52-4c1e-90ea-0840718151ca,水位,m,121.21957,24.96618,3802500RV6,
桃園市政府水務局,桃園市,楊梅區,月眉橋,95356bb7-aad9-4be8-8c51-f2deff7871f2,水位,m,121.14593,24.9186,3802500RV16,
桃園市政府水務局,桃園市,八德區,大灣溝站,9aaf2899-01a3-468a-8544-92c8557f46bd,水位,m,121.30917,24.96305,3802500RV45,
桃園市政府水務局,桃園市,楊梅區,老飯店橋,863f9e44-3ff5-4711-b0a0-a6dc4b2c5fa8,水位,m,121.12379,24.93612,3802500RV17,
桃園市政府水務局,桃園市,大園區,崁下橋,8980cd2a-d5fd-493d-a537-93da82b4d5bd,水位,m,121.26274,25.08341,3802500RV2,
桃園市政府水務局,桃園市,新屋區,新屋橋,e1079755-72fb-4506-892c-da530df691ac,水位,m,121.11266,24.97036,3802500RV14,
桃園市政府水務局,桃園市,平鎮區,滿庭芳站,ab60cd8e-127f-4299-8d21-1186d50dbe4d,水位,m,121.23065,24.93103,3802500RV29,
