ID,警戒縣市,警戒行政區,警戒子行政區,警戒雨量站,雨量站碼,警戒區排水位站,水位站碼,1Hlevel1,3Hlevel1,6Hlevel1,ymax(水位最大值),ymin(水位最小值)
1,臺南市,鹽水區,鹽水0,鹽水,C0X230,,,,,,,
2,臺南市,鹽水區,鹽水1,鹽水,C0X230,番寮橋,W1773701,"-0.0267,5.0667","-0.0207,5.6407","-0.0268,7.1105",4.6,0
3,臺南市,麻豆區,麻豆0,麻豆,C0X120,,,,,,,
4,臺南市,麻豆區,麻豆1,麻豆,C0X120,真理橋,W1772101,"-0.0307,4.2067","-0.0163,4.1963","-0.01,4.1",3,0
5,臺南市,麻豆區,麻豆2,麻豆,C0X120,埤頭橋,W1772102,"-0.0613,6.2133","-0.0193,4.6593","-0.0153,4.8158",3.2,0
6,臺南市,佳里區,佳里0,佳里,C0X080,,,,,,,
7,臺南市,佳里區,佳里0,學甲,C0X220,,,,,,,
8,臺南市,佳里區,佳里1,佳里,C0X080,北門橋,W1772202,"-0.04,4.4","-0.0185,4.5185","-0.0147,4.4842",4,0
9,臺南市,學甲區,學甲0,學甲,C0X220,,,,,,,
10,臺南市,學甲區,學甲0,北門,C0X290,,,,,,,
11,臺南市,學甲區,學甲1,學甲,C0X220,茄芳橋,W1772605,"-0.0253,2.6533","-0.0052,1.9852","-0.0053,2.3158",2.35,0
12,臺南市,學甲區,學甲1,學甲,C0X220,南筏子頭橋,W1772602,"-0.0133,2.6333","-0.0067,2.7667","-0.0053,2.8158",3.5,0
13,臺南市,學甲區,學甲1,學甲,C0X220,宅港橋,W1772601,"-0.0613,6.2133","-0.0193,4.6593","-0.0153,4.8158",6.8,0
14,臺南市,學甲區,學甲1,學甲,C0X220,箍寮橋,W1772501,"-0.0053,2.2533","-0.0096,3.2296","-0.0047,2.8842",2.8,0
15,臺南市,學甲區,學甲1,學甲,C0X220,美豐橋,W1772603,"-0.012,2.32","-0.0052,2.2852","-0.0037,2.3211",2.85,0
16,臺南市,新化區,新化0,虎頭埤,C0O970,,,,,,,
17,臺南市,新化區,新化0,臺南農改,72N100,,,,,,,
18,臺南市,新化區,新化0,畜試所,B2N890,,,,,,,
19,臺南市,新化區,新化0,新市,C0O980,,,,,,,
20,臺南市,新化區,新化1,虎頭埤,C0O970,新豐1號橋,W1771203,"-0.0933,22.933","-0.0474,22.607","-0.0353,22.916",18.43,0
21,臺南市,仁德區,仁德0,臺南市南區,C0X110,,,,,,,
22,臺南市,仁德區,仁德0,仁德,C0X160,,,,,,,
23,臺南市,仁德區,仁德1,仁德,C0X160,鯽潭橋,W1771703,"-0.054,8.78","-0.008,7.4","-0.0053,7.4667",6.7,0
24,臺南市,仁德區,仁德2,仁德,C0X160,萬代橋,W1771712,"-0.0183,5.4667","-0.012,5.8","-0.0075,5.675",6,0
25,臺南市,仁德區,仁德3,仁德,C0X160,大甲橋,W1771704,"-0.0333,4.1667","-0.03,6","-0.018,5",3.36,0
26,臺南市,歸仁區,歸仁0,沙崙,C1N001,,,,,,,
27,臺南市,歸仁區,歸仁0,媽廟,C0O990,,,,,,,
28,臺南市,歸仁區,歸仁1,媽廟,C0O990,五甲教養院旁箱涵橋,W1771101,"-0.028,17.48","-0.0274,18.307","-0.0184,17.805",18.2,0
29,臺南市,永康區,永康1,永康,467420,網寮橋,W1771002,"-0.0317,8.0333","-0.015,7.3","-0.0127,7.5333",6.24,0
30,臺南市,永康區,永康2,永康,467420,永康排水出水口,W1771005,"-0.0183,5.4667","-0.012,5.8","-0.0075,5.675",4.5,0
